SNP,Chromosome,Position,DF,t Value,std Error,effect
GlymaLee.03G037900.1.p,3,5537134,765,-0.00391227999142903,0.327980939272476,-0.00128315326628581
GlymaLee.03G038100.1.p,3,5563744,NA,NA,NA,NA
GlymaLee.03G038300.1.p,3,5588253,NA,NA,NA,NA
GlymaLee.03G038500.1.p,3,5611702,765,-0.0169377743039175,0.232923538156937,-0.00394520631937212
GlymaLee.03G038800.1.p,3,5637678,NA,NA,NA,NA
GlymaLee.03G039000.1.p,3,5651400,NA,NA,NA,NA
GlymaLee.03G039200.1.p,3,5665320,NA,NA,NA,NA
GlymaLee.03G039400.1.p,3,5680735,NA,NA,NA,NA
GlymaLee.03G039500.1.p,3,5733082,NA,NA,NA,NA
GlymaLee.03G039700.1.p,3,5751918,NA,NA,NA,NA
GlymaLee.03G040000.1.p,3,5773934,765,0.168691529545432,0.11661973229409,0.0196727610158689
GlymaLee.03G040100.1.p,3,5804238,NA,NA,NA,NA
GlymaLee.03G040900.1.p,3,5971326,NA,NA,NA,NA
GlymaLee.03G041400.1.p,3,6062129,NA,NA,NA,NA
GlymaLee.03G041800.1.p,3,6104573,NA,NA,NA,NA
GlymaLee.03G042000.1.p,3,6150979,765,1.06794213102942,0.0382817602034034,0.0408827045711799
GlymaLee.03G042100.1.p,3,6157517,765,-0.0312409415023152,0.0269962706022795,-0.000843388910666487
GlymaLee.03G042400.1.p,3,6211283,NA,NA,NA,NA
GlymaLee.03G042500.1.p,3,6226108,NA,NA,NA,NA
GlymaLee.03G042700.1.p,3,6250576,NA,NA,NA,NA
GlymaLee.03G045200.1.p,3,6929561,NA,NA,NA,NA
GlymaLee.03G045400.1.p,3,7010015,765,0.479270983031327,0.0826978779997366,0.0396346932835385
GlymaLee.03G045500.1.p,3,7060057,765,0.734900452277828,0.0246838603992969,0.0181401801714061
GlymaLee.03G045600.1.p,3,7085900,765,-0.623170951287768,0.0395675870789388,-0.0246573708801439
GlymaLee.03G045700.1.p,3,7283388,765,0.466708945445814,0.0250096404707359,0.0116722229300761
GlymaLee.03G045900.1.p,3,7388482,765,-0.206380541774085,0.0246079114776572,-0.00507859410268763
GlymaLee.03G061600.1.p,3,20107010,NA,NA,NA,NA
GlymaLee.03G061700.1.p,3,20185367,NA,NA,NA,NA
GlymaLee.03G063600.1.p,3,20705374,NA,NA,NA,NA
GlymaLee.03G070200.1.p,3,27843327,NA,NA,NA,NA
GlymaLee.03G070300.1.p,3,27850455,NA,NA,NA,NA
GlymaLee.03G070600.1.p,3,27977340,765,-0.864194777828575,0.0416648002661395,-0.0360065028092684
GlymaLee.03G070700.1.p,3,28015986,765,-0.651371512831333,0.0408448067665486,-0.0266051435748302
GlymaLee.03G106900.1.p,3,37417116,NA,NA,NA,NA
GlymaLee.04G100300.1.p,4,12354255,NA,NA,NA,NA
GlymaLee.04G106500.1.p,4,16155413,NA,NA,NA,NA
GlymaLee.04G114600.1.p,4,20940413,NA,NA,NA,NA
GlymaLee.04G180300.1.p,4,50366582,NA,NA,NA,NA
GlymaLee.05G006600.1.p,5,674490,NA,NA,NA,NA
GlymaLee.05G044700.1.p,5,4317947,NA,NA,NA,NA
GlymaLee.05G074800.1.p,5,17112562,NA,NA,NA,NA
GlymaLee.05G075000.1.p,5,17417131,NA,NA,NA,NA
GlymaLee.05G075100.1.p,5,17431118,NA,NA,NA,NA
GlymaLee.05G141100.1.p,5,36828213,NA,NA,NA,NA
GlymaLee.05G141200.1.p,5,36849428,NA,NA,NA,NA
GlymaLee.05G180500.1.p,5,40385723,NA,NA,NA,NA
GlymaLee.06G065700.1.p,6,5804395,NA,NA,NA,NA
GlymaLee.06G134700.1.p,6,12243059,NA,NA,NA,NA
GlymaLee.06G154900.1.p,6,14310847,NA,NA,NA,NA
GlymaLee.06G210500.1.p,6,39789762,NA,NA,NA,NA
GlymaLee.06G215900.1.p,6,42620765,NA,NA,NA,NA
GlymaLee.06G221200.1.p,6,44269195,NA,NA,NA,NA
GlymaLee.06G222300.1.p,6,44764891,NA,NA,NA,NA
GlymaLee.06G222400.1.p,6,44772415,NA,NA,NA,NA
GlymaLee.06G222600.1.p,6,44799304,NA,NA,NA,NA
GlymaLee.06G224900.1.p,6,45656875,NA,NA,NA,NA
GlymaLee.06G225200.1.p,6,45687123,NA,NA,NA,NA
GlymaLee.06G225500.1.p,6,45787117,NA,NA,NA,NA
GlymaLee.06G225900.1.p,6,45819631,NA,NA,NA,NA
GlymaLee.06G226600.1.p,6,46071900,NA,NA,NA,NA
GlymaLee.06G226700.1.p,6,46115672,NA,NA,NA,NA
GlymaLee.06G226900.1.p,6,46185376,NA,NA,NA,NA
GlymaLee.06G227000.1.p,6,46209758,NA,NA,NA,NA
GlymaLee.06G228600.1.p,6,46476226,765,2.23322581486068,0.0306818451834299,0.0685194887111944
GlymaLee.06G228700.1.p,6,46517229,NA,NA,NA,NA
GlymaLee.06G228800.1.p,6,46527925,NA,NA,NA,NA
GlymaLee.06G228900.1.p,6,46534448,765,-0.558969420451952,0.0316176883480484,-0.0176733209319391
GlymaLee.06G229100.1.p,6,46555554,765,-1.87377288677355,0.0248628097668996,-0.046587258830225
GlymaLee.06G229300.1.p,6,46582039,765,-1.42603925289785,0.0243818296115155,-0.0347694460834882
GlymaLee.06G229500.1.p,6,46668585,765,-1.2011202280092,0.0959125615545789,-0.115202517803382
GlymaLee.06G229600.1.p,6,46698045,NA,NA,NA,NA
GlymaLee.06G229700.1.p,6,46699702,765,1.48363224027736,0.190399293385833,0.282482530193249
GlymaLee.06G229900.1.p,6,46723582,765,0.0918187053168151,0.327932447500187,0.0301103327608416
GlymaLee.06G230500.1.p,6,46786660,765,-1.63964682967757,0.0251214430033337,-0.0411902943773419
GlymaLee.06G230600.1.p,6,46799742,765,-0.969627297737747,0.0256976483852041,-0.0249171413619602
GlymaLee.06G230700.1.p,6,46812230,765,-0.23566319836749,0.164588841199003,-0.038787532732556
GlymaLee.06G231000.1.p,6,46871644,NA,NA,NA,NA
GlymaLee.06G231200.1.p,6,46893441,NA,NA,NA,NA
GlymaLee.06G232600.1.p,6,47173084,765,-0.363774057371551,0.0483033456769563,-0.017571504041527
GlymaLee.06G232700.1.p,6,47180056,NA,NA,NA,NA
GlymaLee.06G232800.1.p,6,47279730,765,0.5411622872128,0.0239201248099031,0.0129446694525428
GlymaLee.06G233000.1.p,6,47349640,765,-0.127704981637387,0.327777783358099,-0.0418588558048896
GlymaLee.06G233100.1.p,6,47355671,NA,NA,NA,NA
GlymaLee.06G245700.1.p,6,48987563,NA,NA,NA,NA
GlymaLee.06G266800.1.p,6,51426995,NA,NA,NA,NA
GlymaLee.06G267800.1.p,6,51542518,NA,NA,NA,NA
GlymaLee.06G267900.1.p,6,51554381,765,0.888080941517346,0.0892219420262606,0.0792363062786876
GlymaLee.06G268000.1.p,6,51560746,NA,NA,NA,NA
GlymaLee.06G271900.1.p,6,52031371,NA,NA,NA,NA
GlymaLee.06G274000.1.p,6,52237703,NA,NA,NA,NA
GlymaLee.06G276900.1.p,6,52511407,NA,NA,NA,NA
GlymaLee.07G007100.1.p,7,590004,NA,NA,NA,NA
GlymaLee.07G034100.1.p,7,3091885,NA,NA,NA,NA
GlymaLee.07G058000.1.p,7,5651677,NA,NA,NA,NA
GlymaLee.07G058200.1.p,7,5681620,NA,NA,NA,NA
GlymaLee.07G058700.1.p,7,5732405,NA,NA,NA,NA
GlymaLee.07G059300.1.p,7,5796034,NA,NA,NA,NA
GlymaLee.07G059500.1.p,7,5847947,765,1.18133669659676,0.109846203098435,0.129765350702002
GlymaLee.07G059600.1.p,7,5875743,NA,NA,NA,NA
GlymaLee.07G059800.1.p,7,5914021,765,1.46882748539956,0.12444675233943,0.182790810304866
GlymaLee.07G060000.1.p,7,5946726,765,2.74331528229535,0.0788600671388223,0.216338027344769
GlymaLee.07G060100.1.p,7,5995484,765,0.665643075122673,0.327955838470337,0.21830153282383
GlymaLee.07G060500.1.p,7,6058981,NA,NA,NA,NA
GlymaLee.07G060700.1.p,7,6105953,NA,NA,NA,NA
GlymaLee.07G060900.1.p,7,6147155,NA,NA,NA,NA
GlymaLee.07G062700.1.p,7,6366682,NA,NA,NA,NA
GlymaLee.07G070200.1.p,7,7130614,765,-0.422041195122569,0.0434934992102295,-0.0183560483867478
GlymaLee.07G071900.1.p,7,7359820,NA,NA,NA,NA
GlymaLee.07G072200.1.p,7,7399371,NA,NA,NA,NA
GlymaLee.07G109600.1.p,7,14869276,NA,NA,NA,NA
GlymaLee.07G162300.1.p,7,37687600,NA,NA,NA,NA
GlymaLee.07G165000.1.p,7,37986467,NA,NA,NA,NA
GlymaLee.08G007100.1.p,8,619445,NA,NA,NA,NA
GlymaLee.08G015100.1.p,8,1298034,NA,NA,NA,NA
GlymaLee.08G109900.1.p,8,9311239,NA,NA,NA,NA
GlymaLee.08G110100.1.p,8,9320987,NA,NA,NA,NA
GlymaLee.08G114200.1.p,8,9615537,NA,NA,NA,NA
GlymaLee.08G114400.1.p,8,9633143,NA,NA,NA,NA
GlymaLee.08G148400.1.p,8,12617345,NA,NA,NA,NA
GlymaLee.08G179300.1.p,8,15834035,NA,NA,NA,NA
GlymaLee.08G237000.1.p,8,23933642,NA,NA,NA,NA
GlymaLee.08G263100.1.p,8,42205298,NA,NA,NA,NA
GlymaLee.08G264200.1.p,8,42343082,NA,NA,NA,NA
GlymaLee.08G264300.1.p,8,42346170,NA,NA,NA,NA
GlymaLee.08G264400.1.p,8,42368363,NA,NA,NA,NA
GlymaLee.08G269300.1.p,8,43260476,NA,NA,NA,NA
GlymaLee.08G269900.1.p,8,43317052,NA,NA,NA,NA
GlymaLee.08G271300.1.p,8,43497064,NA,NA,NA,NA
GlymaLee.08G273100.1.p,8,43693331,NA,NA,NA,NA
GlymaLee.08G277900.1.p,8,44332756,NA,NA,NA,NA
GlymaLee.08G283400.1.p,8,45036636,765,-0.317190950154479,0.32775641464253,-0.103961368579689
GlymaLee.08G283700.1.p,8,45057607,NA,NA,NA,NA
GlymaLee.08G284000.1.p,8,45077574,NA,NA,NA,NA
GlymaLee.08G285100.1.p,8,45191577,NA,NA,NA,NA
GlymaLee.08G288600.1.p,8,45508007,NA,NA,NA,NA
GlymaLee.08G294100.1.p,8,46007944,NA,NA,NA,NA
GlymaLee.09G019800.1.p,9,1651369,NA,NA,NA,NA
GlymaLee.09G020100.1.p,9,1671880,NA,NA,NA,NA
GlymaLee.09G051200.1.p,9,5198230,NA,NA,NA,NA
GlymaLee.09G051600.1.p,9,5258643,NA,NA,NA,NA
GlymaLee.09G067100.1.p,9,8373049,NA,NA,NA,NA
GlymaLee.09G125700.1.p,9,39050031,NA,NA,NA,NA
GlymaLee.09G171300.1.p,9,43917982,NA,NA,NA,NA
GlymaLee.09G171400.1.p,9,43924932,NA,NA,NA,NA
GlymaLee.09G172100.1.p,9,43999661,NA,NA,NA,NA
GlymaLee.09G172900.1.p,9,44104510,NA,NA,NA,NA
GlymaLee.09G215000.1.p,9,47871591,NA,NA,NA,NA
GlymaLee.10G034600.1.p,10,3320931,765,-0.647708497170698,0.0429327286346712,-0.0278078931434003
GlymaLee.10G099200.1.p,10,32505353,NA,NA,NA,NA
GlymaLee.10G152400.1.p,10,43778251,NA,NA,NA,NA
GlymaLee.10G152500.1.p,10,43785173,NA,NA,NA,NA
GlymaLee.10G164600.1.p,10,44845779,NA,NA,NA,NA
GlymaLee.11G021000.1.p,11,1651680,NA,NA,NA,NA
GlymaLee.11G054400.1.p,11,4524313,NA,NA,NA,NA
GlymaLee.11G067000.1.p,11,5463033,NA,NA,NA,NA
GlymaLee.11G142500.1.p,11,14623646,NA,NA,NA,NA
GlymaLee.11G142600.1.p,11,14628450,NA,NA,NA,NA
GlymaLee.11G154600.1.p,11,16696092,NA,NA,NA,NA
GlymaLee.11G167500.1.p,11,18786132,NA,NA,NA,NA
GlymaLee.11G195100.1.p,11,35545191,NA,NA,NA,NA
GlymaLee.12G011200.1.p,12,858341,NA,NA,NA,NA
GlymaLee.12G025100.1.p,12,1975308,NA,NA,NA,NA
GlymaLee.12G115400.1.p,12,15171013,NA,NA,NA,NA
GlymaLee.12G115500.1.p,12,15191230,NA,NA,NA,NA
GlymaLee.12G115600.1.p,12,15203434,NA,NA,NA,NA
GlymaLee.12G118000.1.p,12,16022091,765,0.155552099724657,0.328417975970318,0.0510861057495049
GlymaLee.12G118800.1.p,12,16326846,NA,NA,NA,NA
GlymaLee.12G136000.1.p,12,33968631,NA,NA,NA,NA
GlymaLee.12G180800.1.p,12,39988123,NA,NA,NA,NA
GlymaLee.12G186300.1.p,12,40640277,NA,NA,NA,NA
GlymaLee.12G189000.1.p,12,40923234,NA,NA,NA,NA
GlymaLee.12G202200.1.p,12,42436406,NA,NA,NA,NA
GlymaLee.12G204900.1.p,12,42721983,NA,NA,NA,NA
GlymaLee.12G205400.1.p,12,42763649,NA,NA,NA,NA
GlymaLee.12G205500.1.p,12,42775002,NA,NA,NA,NA
GlymaLee.12G205800.1.p,12,42800191,NA,NA,NA,NA
GlymaLee.13G009700.1.p,13,6034296,NA,NA,NA,NA
GlymaLee.13G046600.1.p,13,16787959,NA,NA,NA,NA
GlymaLee.13G046900.1.p,13,16816579,NA,NA,NA,NA
GlymaLee.13G049500.1.p,13,17537148,765,1.92374949317508,0.0955014261578196,0.183720820168602
GlymaLee.13G051000.1.p,13,17924849,NA,NA,NA,NA
GlymaLee.13G062500.1.p,13,20269001,NA,NA,NA,NA
GlymaLee.13G151400.1.p,13,30002134,NA,NA,NA,NA
GlymaLee.13G151600.1.p,13,30017833,NA,NA,NA,NA
GlymaLee.13G154300.1.p,13,30326779,NA,NA,NA,NA
GlymaLee.13G154600.1.p,13,30359315,NA,NA,NA,NA
GlymaLee.13G156000.1.p,13,30510367,NA,NA,NA,NA
GlymaLee.13G156400.1.p,13,30544632,NA,NA,NA,NA
GlymaLee.13G156500.1.p,13,30559549,NA,NA,NA,NA
GlymaLee.13G156700.1.p,13,30582610,NA,NA,NA,NA
GlymaLee.13G157700.1.p,13,30689946,NA,NA,NA,NA
GlymaLee.13G158500.1.p,13,30802411,NA,NA,NA,NA
GlymaLee.13G158700.1.p,13,30820793,NA,NA,NA,NA
GlymaLee.13G159400.1.p,13,30885312,NA,NA,NA,NA
GlymaLee.13G159800.1.p,13,30923608,NA,NA,NA,NA
GlymaLee.13G159900.1.p,13,30939635,NA,NA,NA,NA
GlymaLee.13G160000.1.p,13,30953734,NA,NA,NA,NA
GlymaLee.13G160100.1.p,13,30973637,765,0.218729509580484,0.164115342480156,0.0358968683753176
GlymaLee.13G160200.1.p,13,31003814,765,0.633654650354928,0.146875996132854,0.0930686579750954
GlymaLee.13G160300.1.p,13,31013237,NA,NA,NA,NA
GlymaLee.13G160800.1.p,13,31078141,NA,NA,NA,NA
GlymaLee.13G206400.1.p,13,35462559,NA,NA,NA,NA
GlymaLee.13G222600.1.p,13,36742946,NA,NA,NA,NA
GlymaLee.13G222900.1.p,13,36760681,NA,NA,NA,NA
GlymaLee.13G239800.1.p,13,38408483,NA,NA,NA,NA
GlymaLee.14G008300.1.p,14,684555,NA,NA,NA,NA
GlymaLee.14G022000.1.p,14,1789365,765,-3.01410969111807,0.0314003909667785,-0.0946442227178634
GlymaLee.14G022100.1.p,14,1792694,NA,NA,NA,NA
GlymaLee.14G022200.1.p,14,1797051,765,-0.0975793387711784,0.0921942470016217,-0.00899625366092494
GlymaLee.14G042600.1.p,14,3858091,NA,NA,NA,NA
GlymaLee.14G070300.1.p,14,6837075,NA,NA,NA,NA
GlymaLee.14G070400.1.p,14,6844059,NA,NA,NA,NA
GlymaLee.14G119100.1.p,14,29127999,NA,NA,NA,NA
GlymaLee.14G149700.1.p,14,47420400,NA,NA,NA,NA
GlymaLee.14G161100.1.p,14,48754941,NA,NA,NA,NA
GlymaLee.14G165700.1.p,14,49271082,NA,NA,NA,NA
GlymaLee.14G165800.1.p,14,49290633,NA,NA,NA,NA
GlymaLee.14G165900.1.p,14,49308554,NA,NA,NA,NA
GlymaLee.14G166100.1.p,14,49335508,NA,NA,NA,NA
GlymaLee.14G166400.1.p,14,49370087,NA,NA,NA,NA
GlymaLee.14G167500.1.p,14,49516669,NA,NA,NA,NA
GlymaLee.14G168000.1.p,14,49540249,NA,NA,NA,NA
GlymaLee.15G023400.1.p,15,2063130,NA,NA,NA,NA
GlymaLee.15G066600.1.p,15,5479857,NA,NA,NA,NA
GlymaLee.15G117600.1.p,15,10039922,NA,NA,NA,NA
GlymaLee.15G118900.1.p,15,10154154,NA,NA,NA,NA
GlymaLee.15G119000.1.p,15,10164829,NA,NA,NA,NA
GlymaLee.15G139800.1.p,15,12741336,NA,NA,NA,NA
GlymaLee.15G139900.1.p,15,12749474,NA,NA,NA,NA
GlymaLee.15G146800.1.p,15,13819653,NA,NA,NA,NA
GlymaLee.15G153200.1.p,15,15147600,NA,NA,NA,NA
GlymaLee.15G168400.1.p,15,19621667,NA,NA,NA,NA
GlymaLee.15G195000.1.p,15,44317633,NA,NA,NA,NA
GlymaLee.15G195300.1.p,15,44475193,NA,NA,NA,NA
GlymaLee.15G198600.1.p,15,46360913,765,-1.73049644910415,0.0305806387724754,-0.0529196868071056
GlymaLee.15G198700.1.p,15,46369703,NA,NA,NA,NA
GlymaLee.15G198800.1.p,15,46378414,765,0.75979864849667,0.18992518439948,0.144304898422206
GlymaLee.15G199000.1.p,15,46557742,NA,NA,NA,NA
GlymaLee.15G199200.1.p,15,46802755,765,0.525628828089667,0.027886181869019,0.0146577810957078
GlymaLee.15G199300.1.p,15,46823772,765,2.61139963397452,0.0386515859463019,0.100934737392707
GlymaLee.15G199500.1.p,15,46964277,765,1.60621159127665,0.0272065911061778,0.0436995419938668
GlymaLee.15G199700.1.p,15,47014727,765,1.37939966080319,0.328440778802815,0.453051098874539
GlymaLee.15G200300.1.p,15,47181737,NA,NA,NA,NA
GlymaLee.15G200400.1.p,15,47204967,NA,NA,NA,NA
GlymaLee.15G200500.1.p,15,47217138,NA,NA,NA,NA
GlymaLee.15G209600.1.p,15,50909354,NA,NA,NA,NA
GlymaLee.15G209700.1.p,15,50943013,NA,NA,NA,NA
GlymaLee.16G005100.1.p,16,516520,NA,NA,NA,NA
GlymaLee.16G028200.1.p,16,2995675,NA,NA,NA,NA
GlymaLee.16G028300.1.p,16,3021693,NA,NA,NA,NA
GlymaLee.16G030300.1.p,16,3208588,NA,NA,NA,NA
GlymaLee.16G070100.1.p,16,8218772,NA,NA,NA,NA
GlymaLee.16G074200.1.p,16,10068645,765,-0.248405040693207,0.32782636390664,-0.081433721266535
GlymaLee.16G074500.1.p,16,10085550,NA,NA,NA,NA
GlymaLee.16G074700.1.p,16,10096732,NA,NA,NA,NA
GlymaLee.16G075000.1.p,16,10287565,765,-0.850241489202082,0.165463889243389,-0.140684263599468
GlymaLee.16G075200.1.p,16,10446071,765,-1.34926658076912,0.189982733626544,-0.256337353405456
GlymaLee.16G075300.1.p,16,10595325,NA,NA,NA,NA
GlymaLee.16G075400.1.p,16,10631466,NA,NA,NA,NA
GlymaLee.16G075600.1.p,16,10739381,NA,NA,NA,NA
GlymaLee.16G098200.1.p,16,28080819,NA,NA,NA,NA
GlymaLee.16G104500.1.p,16,29676141,NA,NA,NA,NA
GlymaLee.16G110700.1.p,16,30942421,NA,NA,NA,NA
GlymaLee.16G111100.1.p,16,30967558,765,2.98838493644342,0.0557594633522274,0.166630740345965
GlymaLee.16G111300.1.p,16,30996392,765,3.86413925760562,0.0473802268147224,0.183083794469027
GlymaLee.16G111400.1.p,16,31003491,765,0.909649558422296,0.100010755378227,0.0909747394672848
GlymaLee.16G111500.1.p,16,31012672,765,2.48993033718003,0.0615209291268343,0.153182827804407
GlymaLee.16G111800.1.p,16,31038684,NA,NA,NA,NA
GlymaLee.16G111900.1.p,16,31098697,NA,NA,NA,NA
GlymaLee.16G112000.1.p,16,31106993,NA,NA,NA,NA
GlymaLee.16G112100.1.p,16,31118241,NA,NA,NA,NA
GlymaLee.16G112200.1.p,16,31151865,NA,NA,NA,NA
GlymaLee.16G120500.1.p,16,32541641,NA,NA,NA,NA
GlymaLee.16G130700.1.p,16,33631317,NA,NA,NA,NA
GlymaLee.16G130800.1.p,16,33636259,765,1.77262130676096,0.0416255300805522,0.0737863015260061
GlymaLee.16G130900.1.p,16,33646165,NA,NA,NA,NA
GlymaLee.16G131000.1.p,16,33660472,NA,NA,NA,NA
GlymaLee.16G131100.1.p,16,33666467,NA,NA,NA,NA
GlymaLee.16G131200.1.p,16,33672537,NA,NA,NA,NA
GlymaLee.16G131300.1.p,16,33674918,NA,NA,NA,NA
GlymaLee.16G131400.1.p,16,33681583,NA,NA,NA,NA
GlymaLee.16G160900.1.p,16,37287982,NA,NA,NA,NA
GlymaLee.16G170500.1.p,16,38117825,NA,NA,NA,NA
GlymaLee.16G172000.1.p,16,38246739,NA,NA,NA,NA
GlymaLee.16G172200.1.p,16,38260624,NA,NA,NA,NA
GlymaLee.16G172700.1.p,16,38308832,NA,NA,NA,NA
GlymaLee.16G173600.1.p,16,38342860,NA,NA,NA,NA
GlymaLee.16G174900.1.p,16,38440887,NA,NA,NA,NA
GlymaLee.16G175100.1.p,16,38454532,NA,NA,NA,NA
GlymaLee.16G175200.1.p,16,38454349,765,1.63537774673666,0.0681310778190394,0.11142004852644
GlymaLee.16G175400.1.p,16,38469347,NA,NA,NA,NA
GlymaLee.16G175500.1.p,16,38489349,765,1.78393434865544,0.0337765286844341,0.0602551096985078
GlymaLee.16G175600.1.p,16,38496432,765,-0.688018982967007,0.0494148754625097,-0.0339983723591573
GlymaLee.16G175900.1.p,16,38505422,765,0.123848549241908,0.0959622360471874,0.0118847837164537
GlymaLee.16G176100.1.p,16,38515515,NA,NA,NA,NA
GlymaLee.16G176300.1.p,16,38530475,NA,NA,NA,NA
GlymaLee.16G176400.1.p,16,38536574,NA,NA,NA,NA
GlymaLee.16G176500.1.p,16,38555385,NA,NA,NA,NA
GlymaLee.16G176600.1.p,16,38559905,765,0.287456699762227,0.32994007300374,0.0948434845049633
GlymaLee.16G176700.1.p,16,38562059,765,0.287456699762227,0.32994007300374,0.0948434845049633
GlymaLee.16G176800.1.p,16,38572706,NA,NA,NA,NA
GlymaLee.17G162400.1.p,17,20167904,NA,NA,NA,NA
GlymaLee.17G162500.1.p,17,20228508,NA,NA,NA,NA
GlymaLee.17G162600.1.p,17,20543643,NA,NA,NA,NA
GlymaLee.17G162900.1.p,17,20631792,765,0.204262005614597,0.327770689082525,0.066951098333675
GlymaLee.17G163000.1.p,17,20739767,NA,NA,NA,NA
GlymaLee.17G163100.1.p,17,20922298,NA,NA,NA,NA
GlymaLee.17G214800.1.p,17,41511226,NA,NA,NA,NA
GlymaLee.17G214900.1.p,17,41517999,NA,NA,NA,NA
GlymaLee.18G070200.1.p,18,7519212,NA,NA,NA,NA
GlymaLee.18G073900.1.p,18,8053397,NA,NA,NA,NA
GlymaLee.18G074000.1.p,18,8081161,NA,NA,NA,NA
GlymaLee.18G075500.1.p,18,8282205,NA,NA,NA,NA
GlymaLee.18G075700.1.p,18,8318081,765,1.34017294830891,0.0548761011448197,0.0735434662629508
GlymaLee.18G075800.1.p,18,8358517,NA,NA,NA,NA
GlymaLee.18G075900.1.p,18,8369951,765,-0.0338607988619807,0.116459537482845,-0.00394341297426593
GlymaLee.18G076200.1.p,18,8414743,765,-3.10300061852946,0.191893200351087,-0.595444719381021
GlymaLee.18G076300.1.p,18,8428804,765,-0.284584856614033,0.0565429911104046,-0.016091279017683
GlymaLee.18G076500.1.p,18,8487373,765,-1.95523634986509,0.125268579184788,-0.244929679518052
GlymaLee.18G076600.1.p,18,8530607,765,1.2052343706468,0.0663621477955502,0.0799819414331395
GlymaLee.18G076800.1.p,18,8568492,NA,NA,NA,NA
GlymaLee.18G080600.1.p,18,9119027,NA,NA,NA,NA
